{,i,(,),~,},ö,e,b,t,g,h,r,k,ë,c,f,s,[,],=,a,d,%,v,q,+,-,*,/,^,l,¿,#,m,>,¡,<,&,o,u,w,x,y,z,á,é,í,ñ,ó,p,°,ú,ü,$
-22,-22,-22,r104,-22,r104,-22,-22,-22,-22,-22,-22,-22,-22,-22,r104,r104,-22,-22,r104,-22,-22,-22,-22,-22,-22,r104,r104,r104,r104,r104,-22,r104,r104,r104,r104,r104,r104,r104,r104,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,r104,-22,-22,-22,-22
-28,-28,-28,r102,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,s127,-28,-28,-28,r102,-28,-28,-28,-28,-28,-28,s106,s107,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28
-17,s77,s86,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,s78,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17
-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,s129,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29
-27,-27,-27,s130,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27
-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,s106,s107,-30,-30,-30,-30,s109,s110,s111,s112,s113,s114,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
-27,-27,-27,s131,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27
-27,-27,-27,s132,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27
-3,s22,-3,-3,-3,-3,-3,s31,s32,s33,s34,s35,s36,s37,s38,-3,-3,s18,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,s23,-3,-3,s24,-3,-3,s25,s26,s27,s28,-3,s29,s30,-3,-3
-3,s22,-3,-3,-3,-3,-3,s31,s32,s33,s34,s35,s36,s37,s38,-3,-3,s18,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,s23,-3,-3,s24,-3,-3,s25,s26,s27,s28,-3,s29,s30,-3,-3
-31,s77,s73,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,s76,s80,s81,-31,-31,-31,-31,-31,s78,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,s82,-31,-31,-31,-31,s137,-31,-31,-31,-31
-7,s139,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,s140,-32,-32,-32,-32
